hhid14_9,edu_level,pidlink
10080005,3,10085102
10103100,1,10100004
10103100,2,10100004
10100000,1,10100007
10100000,2,10100007
10103100,1,10103105
10103100,2,10103105
10100001,1,10105102
10100001,2,10105102
10100001,3,10105102
10120009,1,10120009
10120009,2,10120009
10120009,1,10125101
10140000,1,10140004
10140000,2,10140004
10140000,3,10140004
10154100,3,10150004
10154100,,10150004
10154100,,10150004
10150005,3,10150005
10150005,,10150005
10150005,,10150005
10150007,1,10150007
10150007,2,10150007
10150007,3,10150007
10170000,1,10170006
10170000,2,10170006
10170000,3,10170006
10170000,1,10170007
10170000,2,10170007
10170000,3,10170007
10180006,1,10180006
10180006,2,10180006
10180006,3,10180006
10212100,1,10210005
10210009,1,10210009
10210009,2,10210009
10210009,3,10210009
10212100,1,10210010
10212100,2,10210010
10220000,1,10220006
10240000,1,10240007
10240000,2,10240007
10240000,3,10240007
10240000,4,10240007
10240003,1,10245101
10240003,2,10245101
10240003,3,10245101
10260000,1,10260005
10260000,2,10260005
10260000,3,10260005
10260006,1,10260006
10260006,2,10260006
10260006,3,10260006
10264100,1,10260009
10264100,2,10260009
10260000,1,10260011
10260000,1,10260012
10260000,2,10260012
10260000,1,10260013
